"district","school","y"
"d1","d1_s1","2.3101021891148741"
"d1","d1_s1","3.2624731172010026"
"d1","d1_s1","3.1347130474151008"
"d1","d1_s1","1.9095339682193462"
"d1","d1_s1","2.5219186599156278"
"d1","d1_s1","1.7298799830409002"
"d1","d1_s1","3.4435102976403882"
"d1","d1_s1","1.5891919135052026"
"d1","d1_s1","2.2757546449444375"
"d1","d1_s1","0.37253097698814708"
"d1","d1_s1","1.5199203658671356"
"d1","d1_s1","3.0476517342598832"
"d1","d1_s1","2.0346393422019604"
"d1","d1_s1","2.1923836512390804"
"d1","d1_s1","2.6635067910960775"
"d1","d1_s2","2.0564746592047967"
"d1","d1_s2","0.63098073207751959"
"d1","d1_s2","3.1130920538832005"
"d1","d1_s2","1.8935977861145328"
"d1","d1_s2","1.5568659020866589"
"d1","d1_s2","1.857523541860993"
"d1","d1_s2","2.8124354698701888"
"d1","d1_s2","2.5347451818721747"
"d1","d1_s2","4.5886362018635438"
"d1","d1_s2","2.198514290074705"
"d1","d1_s2","4.0651880664226869"
"d1","d1_s2","2.2530215550123702"
"d1","d1_s2","1.9088664791408858"
"d1","d1_s2","3.9681112115665447"
"d1","d1_s2","4.2317793482421262"
"d1","d1_s3","4.1575500282745121"
"d1","d1_s3","2.2713972946077616"
"d1","d1_s3","1.3843436998237455"
"d1","d1_s3","1.1819760255860889"
"d1","d1_s3","0.52744335174746326"
"d1","d1_s3","2.0130761236835393"
"d1","d1_s3","1.9207430653742994"
"d1","d1_s3","3.9068255711169941"
"d1","d1_s3","-0.25182865714658664"
"d1","d1_s3","2.9378926510975338"
"d1","d1_s3","1.6399577445541695"
"d1","d1_s3","3.4671582502435419"
"d1","d1_s3","2.5441117140140745"
"d1","d1_s3","2.3093928846010456"
"d1","d1_s3","0.4760199742093929"
"d1","d1_s4","1.042006340266062"
"d1","d1_s4","1.7750785573013255"
"d1","d1_s4","1.6921466255655502"
"d1","d1_s4","1.2294262285610409"
"d1","d1_s4","1.8633310097598712"
"d1","d1_s4","3.6898661767800962"
"d1","d1_s4","2.7777578386808823"
"d1","d1_s4","1.1641046985607133"
"d1","d1_s4","3.3855718587804375"
"d1","d1_s4","2.4972910653301348"
"d1","d1_s4","3.1145993973145769"
"d1","d1_s4","1.8464301812321124"
"d1","d1_s4","1.1029433865360989"
"d1","d1_s4","1.1456874710453444"
"d1","d1_s4","2.17116870659701"
"d2","d2_s1","3.8040825436471026"
"d2","d2_s1","2.793335407594367"
"d2","d2_s1","2.0550784892657319"
"d2","d2_s1","5.8434228431698969"
"d2","d2_s1","3.0770651529854076"
"d2","d2_s1","3.1811660818423633"
"d2","d2_s1","3.1818819401328602"
"d2","d2_s1","3.989217414476069"
"d2","d2_s1","3.1231216708118317"
"d2","d2_s1","2.1145735423847749"
"d2","d2_s1","3.7172124494280268"
"d2","d2_s1","4.4117837538924691"
"d2","d2_s1","5.8791830146114465"
"d2","d2_s1","6.6343316458789747"
"d2","d2_s1","4.9594190064107124"
"d2","d2_s2","4.5824343215203927"
"d2","d2_s2","5.63223323378089"
"d2","d2_s2","5.2873509268938967"
"d2","d2_s2","3.5774732596439152"
"d2","d2_s2","3.1790481171492857"
"d2","d2_s2","3.283229802581185"
"d2","d2_s2","4.4462391428873236"
"d2","d2_s2","3.9675321022014227"
"d2","d2_s2","4.8897846203628132"
"d2","d2_s2","5.3299821452883869"
"d2","d2_s2","4.6831423612076755"
"d2","d2_s2","3.4179338169997608"
"d2","d2_s2","3.5474887143608602"
"d2","d2_s2","5.345488062814999"
"d2","d2_s2","4.9475740497881819"
"d2","d2_s3","2.8202759503305579"
