"g","y"
"ctrl","-0.94118937294336291"
"ctrl","-1.1020570451388327"
"ctrl","-1.8593425470043157"
"ctrl","-0.757732449168393"
"ctrl","-0.33016066204691169"
"ctrl","-0.23284473277620671"
"ctrl","-0.73036792319253308"
"ctrl","0.32076112509059462"
"ctrl","0.74471741873800767"
"ctrl","-0.25227436287233723"
"ctrl","-2.0268969773871741"
"ctrl","-0.065663221072151307"
"ctrl","-0.29868583311341562"
"ctrl","-0.020866687457367777"
"ctrl","0.66010767947879878"
"ctrl","0.53700103999571502"
"ctrl","0.61366491089256026"
"ctrl","1.5432239522349849"
"ctrl","1.0042841364731387"
"ctrl","-0.66005252240514189"
"ctrl","-1.8865253531181152"
"ctrl","-0.20954883429334975"
"ctrl","1.2196335744967979"
"ctrl","0.68764655732440572"
"t1","1.3579213682186291"
"t1","0.94843773900910722"
"t1","-0.036019411906387355"
"t1","0.5671501365890379"
"t1","0.49580430804110059"
"t1","1.8268970652286565"
"t1","-0.65711237007244827"
"t1","2.0040452987685757"
"t1","0.22718442828340765"
"t1","-0.011518292710446021"
"t1","1.5117667864834465"
"t1","-0.62138436962974963"
"t1","1.0207458155753133"
"t1","-0.21278995218437358"
"t1","-0.47144633849878048"
"t1","1.0787193351440236"
"t1","-0.86462311766198086"
"t1","-0.057790821554009775"
"t1","1.9437846606093014"
"t1","0.69421987010894759"
"t1","-1.2121337789388908"
"t1","0.65045154206218159"
"t1","0.20616695219902187"
"t1","-0.40098904184347628"
"t2","-0.23500743421664316"
"t2","1.2949740915630361"
"t2","-1.2490316384567808"
"t2","-0.16969716679699065"
"t2","-1.2695403850512077"
"t2","-0.19095236935093618"
"t2","0.17915097514664829"
"t2","-2.0354765883322683"
"t2","0.21147625621359656"
"t2","1.4604878203012666"
"t2","0.5992891184590794"
"t2","0.91227145780392482"
"t2","3.409113349502177"
"t2","0.49169601869030904"
"t2","1.3068287280861606"
"t2","-0.26997167106473807"
"t2","0.66851452443889681"
"t2","0.87859876149217786"
"t2","1.8074325768037214"
"t2","1.4611413363397077"
"t2","0.11702504492737803"
"t2","1.8141448825770639"
"t2","2.6525570843348802"
"t2","0.42786724381573693"
"t3","1.3808007841139378"
"t3","0.64787940851371129"
"t3","3.5324465696720537"
"t3","-0.71921277255347449"
"t3","0.083460715011483444"
"t3","-0.63132824419942501"
"t3","1.5095445443565327"
"t3","2.1826529803667629"
"t3","0.057860116909923986"
"t3","2.4095239559451409"
"t3","-0.41436991861274808"
"t3","0.085793710878932727"
"t3","0.99081801193639651"
"t3","0.66474901258611252"
"t3","-0.26214129691969013"
"t3","1.8045908787176563"
"t3","0.66659951020184027"
"t3","-0.24294434653794794"
"t3","-0.31735128182432293"
"t3","1.5556505654426851"
"t3","0.80014144694262279"
"t3","0.13814037585331129"
"t3","0.99981922509699683"
"t3","-0.46892409902951271"
"t4","0.70272679017820017"
"t4","0.36901452727679496"
"t4","1.506512326605173"
"t4","0.65948257041879754"
"t4","1.6117528124538145"
"t4","-0.35888932378519933"
"t4","0.68542181108599598"
"t4","1.5385854410611299"
"t4","0.77191491827152392"
"t4","-2.5781759778788649"
"t4","1.0690726046658954"
"t4","1.5776363987157058"
"t4","0.59079450356866137"
"t4","0.46319382269073689"
"t4","1.1725798063108355"
"t4","0.90153835617628431"
"t4","1.0892154875570774"
"t4","1.7295712129508578"
"t4","1.5453692318350227"
"t4","0.2841047234906291"
"t4","2.0355284721139695"
"t4","1.2078313461979318"
"t4","1.4510259489445265"
"t4","0.94131862420505841"
