"store","day","price1","price2","sales1","sales2"
"1","1","37","61","11.3208","0.0047000000000000002"
"1","2","37","37","12.915100000000001","0.0037000000000000002"
"1","3","45","53","18.8947","7.5429000000000004"
"1","4","41","41","14.6739","7.0651999999999999"
"1","5","57","41","8.6493000000000002","21.208500000000001"
"1","6","49","33","9.5237999999999996","16.666699999999999"
"2","1","49","49","7.6923000000000004","7.1154000000000002"
"2","2","53","53","0.0016999999999999999","1"
"2","3","53","45","8.0477000000000007","24.217600000000001"
"2","4","53","53","6.7358000000000002","2.9361000000000002"
"2","5","61","37","6.1440999999999999","40.572000000000003"
"2","6","49","65","21.793900000000001","2.8323999999999998"
"3","1","53","45","4.2553000000000001","6.0284000000000004"
"3","2","57","57","0.0016999999999999999","2.0905999999999998"
"3","3","49","49","11.019600000000001","13.9329"
"3","4","53","53","6.2762000000000002","6.5551000000000004"
"3","5","53","45","13.2316","10.686999999999999"
"3","6","53","53","5.0675999999999997","5.1351000000000004"
"4","1","57","57","5.6234999999999999","3.9119999999999999"
"4","2","49","49","14.9893","7.2805"
"4","3","53","53","13.7233","16.310500000000001"
"4","4","53","45","6.0669000000000004","23.849399999999999"
"4","5","53","53","8.1601999999999997","4.1543000000000001"
"4","6","61","37","1.4422999999999999","21.1538"
"5","1","45","45","6.9970999999999997","6.9970999999999997"
"5","2","53","45","5.2308000000000003","3.6922999999999999"
"5","3","57","57","8.2560000000000002","10.667899999999999"
"5","4","49","49","14.5","16.75"
"5","5","53","53","20.762699999999999","15.254200000000001"
"5","6","53","45","3.6114999999999999","21.5442"
"6","1","53","53","11.3475","4.9645000000000001"
"6","2","53","45","9.4649999999999999","11.728400000000001"
"6","3","53","53","22.610299999999999","14.889699999999999"
"6","4","61","37","0.002","19.199999999999999"
"6","5","49","65","20.599699999999999","2.3468"
"6","6","37","37","28.1828","17.9543"
